iter	Passed	Remaining
896	2068	237
897	2069	235
898	2071	232
899	2072	230
900	2074	227
901	2075	225
902	2078	223
903	2081	221
904	2083	218
905	2085	216
906	2086	213
907	2089	211
908	2090	209
909	2095	207
910	2098	204
911	2100	202
912	2102	200
913	2103	197
914	2105	195
915	2108	193
916	2112	191
917	2114	188
918	2116	186
919	2118	184
920	2121	181
921	2125	179
922	2127	177
923	2129	175
924	2130	172
925	2132	170
926	2134	168
927	2135	165
928	2138	163
929	2143	161
930	2147	159
931	2148	156
932	2150	154
933	2152	152
934	2155	149
935	2159	147
936	2163	145
937	2165	143
938	2168	140
939	2170	138
940	2174	136
941	2176	134
942	2179	131
943	2182	129
944	2184	127
945	2187	124
946	2188	122
947	2190	120
948	2191	117
949	2193	115
950	2195	113
951	2197	110
952	2199	108
953	2201	106
954	2203	103
955	2204	101
956	2206	99
957	2207	96
958	2209	94
959	2211	92
960	2213	89
961	2215	87
962	2217	85
963	2218	82
964	2220	80
965	2222	78
966	2223	75
967	2262	74
968	2264	72
969	2269	70
970	2271	67
971	2281	65
972	2283	63
973	2286	61
974	2288	58
975	2291	56
976	2293	53
977	2301	51
978	2303	49
979	2326	47
980	2330	45
981	2332	42
982	2337	40
983	2342	38
984	2344	35
985	2346	33
986	2348	30
987	2350	28
988	2356	26
989	2359	23
990	2361	21
991	2363	19
992	2364	16
993	2367	14
994	2368	11
995	2371	9
996	2372	7
997	2374	4
998	2376	2
999	2377	0
